,problem,correct,infeas,subopt,time_improvement
0,inventory,1.0,0.0,0.0,430.42445747197365
1,inventory,1.0,0.0,-1.4210854715202005e-15,593.1655582283854
2,inventory,1.0,0.0,0.0,701.260665885896
3,inventory,1.0,0.0,0.0,696.9339544169023
4,inventory,0.0,0.0,0.24393739998135827,586.3790401567092
5,inventory,0.0,0.0,0.0,204.41493512828018
6,inventory,0.0,0.0,7.105427357601002e-16,325.59648850217525
7,inventory,0.0,0.0,0.0,465.3796357983567
8,inventory,0.0,0.0,7.105427357601002e-16,460.59082911809986
9,inventory,1.0,0.0,0.0,162.93188180404354
